PLOT,TREATMENT,SPECIES_CODE,ORIGIN,COVER_CLASS,RAMETS_LIVING,POST_LDEPTH_CM,LITTER_DEPTH_CM,MAX_TYPHA_HEIGHT_CM,FLOWERS,Comments
A01,1,TYPHGLA,I,2,105,1,6,303,36,
A01,1,LYCOEUR,E,1,,,,,,
A01,1,CARELYN,N,1,,,,,,
A01,1,AGROSTO,E,1,,,,,,
A02,1,TRIGMAR,N,1,105,1,3,269,36,
A02,1,CARELYN,N,1,,,,,,
A02,1,ELEOPAL,N,1,,,,,,
A02,1,AGROSTO,E,1,,,,,,
A02,1,TYPHGLA,I,2,,,,,,
A02,1,SCHOPUN,N,1,,,,,,
A02,1,LITTER,N,5,,,,,,
A03,1,CARELYN,N,1,100,1,1,304,24,
A03,1,AGROSTO,E,1,,,,,,
A03,1,TYPHGLA,I,2,,,,,,
A03,1,SCHOTAB,N,1,,,,,,
A03,1,LITTER,N,5,,,,,,
A04,1,TYPHGLA,I,2,100,3,5,312,37,
A04,1,TYPHANG,I,1,,,,,,
A04,1,CARELYN,N,1,,,,,,
A04,1,LYTHSAL,I,1,,,,,,
A04,1,AGROSTO,E,1,,,,,,
A04,1,TRIGMAR,N,1,,,,,,
A04,1,LITTER,N,5,,,,,,
A05,1,TYPHGLA,I,2,108,8,7,339,9,
A05,1,SCHOTAB,N,1,,,,,,
A05,1,ELEOPAL,N,1,,,,,,
A05,1,LITTER,N,5,,,,,,
A06,1,TYPHANG,I,1,300,3,1,267,41,
A06,1,TYPHLAT,N,2,,,,,,
A06,1,LITTER,N,4,,,,,,
A06,1,MUD,N,3,,,,,,
A07,1,TYPHGLA,I,2,152,5,6,315,34,
A07,1,LITTER,N,5,,,,,,
A08,1,TYPHGLA,I,2,125,15,7,330,38,
A08,1,LITTER,N,5,,,,,,
A09,1,TYPHGLA,I,2,124,5,4,298,31,
A09,1,LITTER,N,5,,,,,,
A10,1,TYPHGLA,I,1,233,5,7,289,47,
A10,1,TYPHANG,I,1,,,,,,
A10,1,LITTER,N,5,,,,,,
A11,1,TYPHGLA,I,2,177,8,8,309,41,
A11,1,TYPHANG,I,1,,,,,,
A11,1,LITTER,N,5,,,,,,
A12,1,TYPHGLA,I,2,176,5,5,292,47,
A12,1,SCHOTAB,N,1,,,,,,
A12,1,TYPHANG,I,1,,,,,,
A12,1,LITTER,N,4,,,,,,
A12,1,MUD,N,1,,,,,,
A13,1,TRIGMAR,N,1,98,1,1,272,27,
A13,1,CARELYN,N,2,,,,,,
A13,1,SCHEARU,E,1,,,,,,
A13,1,TYPHGLA,I,1,,,,,,
A13,1,AGROSTO,E,1,,,,,,
A13,1,LITTER,N,1,,,,,,
A13,1,MUD,N,1,,,,,,
A14,1,TYPHANG,I,1,130,13,4,271,20,
A14,1,TYPHGLA,I,1,,,,,,
A14,1,CARELYN,N,1,,,,,,
